"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
6.9999999999999,4000241.17441334,6.02936033338164E-05,-293710.734598364,-1.45225126633175E-05,6.84214926906414E-06,0.0450806162889595,0.127015407223986,0.000355306336689943
7.09999999999989,4000244.85111098,6.12127777446236E-05,-293710.686635053,-1.46858114752346E-05,7.14071528279079E-06,0.0452242250574354,0.130605626435885,0.000355969535036871
7.19999999999989,4000248.5382737,6.21345684246322E-05,-293710.63929241,-1.48469971243959E-05,7.44789001347978E-06,0.0453697572780975,0.134243931952439,0.000356644465094919
7.29999999999989,4000252.23609519,6.30590237982176E-05,-293710.592584425,-1.50060219780146E-05,7.76379923782606E-06,0.0455172106840444,0.13793026710111,0.000357331233828814
7.39999999999989,4000255.94477139,6.39861928464214E-05,-293710.546525353,-1.51628375064661E-05,8.08856893822993E-06,0.0456665831252329,0.141664578130823,0.000358029950566926
7.49999999999988,4000259.66450046,6.49161251156105E-05,-293710.501129716,-1.53173942579743E-05,8.42232530217675E-06,0.045817872572638,0.145446814315949,0.000358740727044903
7.59999999999988,4000263.39548294,6.58488707354632E-05,-293710.456412319,-1.54696418348532E-05,8.76519472528332E-06,0.0459710771223871,0.149276928059677,0.000359463677450527
7.69999999999988,4000267.13792172,6.6784480430071E-05,-293710.412388249,-1.56195288680827E-05,9.11730381937444E-06,0.0461261949998707,0.153154874996768,0.00036019891846981
7.79999999999988,4000270.89202213,6.77230055325939E-05,-293710.369072888,-1.5767002989775E-05,9.4787794125076E-06,0.0462832245638292,0.15708061409573,0.000360946569334375
7.89999999999988,4000274.657992,6.86644979999151E-05,-293710.326481916,-1.59120108079724E-05,9.84974855483794E-06,0.0464421643104158,0.161054107760394,0.000361706751870203
7.99999999999987,4000278.4360417,6.96090104250757E-05,-293710.284631326,-1.60544978792254E-05,1.02303385202456E-05,0.0466030128772383,0.165075321930957,0.000362479590547711
8.09999999999987,4000282.22638422,7.05565960557042E-05,-293710.243537425,-1.61944086796151E-05,1.06206768159693E-05,0.0467657690473788,0.16914422618447,0.000363265212533221
8.19999999999987,4000286.02923523,7.1507308806229E-05,-293710.203216848,-1.63316865761098E-05,1.10208911813348E-05,0.0469304317533932,0.173260793834831,0.00036406374774192
8.29999999999987,4000289.8448131,7.2461203274754E-05,-293710.163686562,-1.64662737968113E-05,1.14311095951109E-05,0.0470970000812915,0.177425002032288,0.000364875328892284
8.39999999999987,4000293.67333903,7.34183347581574E-05,-293710.124963881,-1.65981113999791E-05,1.18514602761277E-05,0.0472654732745,0.181636831862501,0.000365700091561976
8.49999999999986,4000297.51503708,7.43787592709655E-05,-293710.087066468,-1.67271392439439E-05,1.22820716941806E-05,0.047435850737807,0.185896268445175,0.000366538174245426
8.59999999999986,4000301.37013423,7.53425335568991E-05,-293710.05001235,-1.68532959530232E-05,1.2723072567011E-05,0.0476081320412931,0.190203301032328,0.000367389718412971
8.69999999999986,4000305.23886045,7.63097151119663E-05,-293710.013819926,-1.69765188868798E-05,1.31745918716029E-05,0.0477823169242482,0.194557923106205,0.00036825486857161
8.79999999999986,4000309.12144878,7.72803621960083E-05,-293709.978507977,-1.70967441024406E-05,1.36367588418682E-05,0.047958405299076,0.1989601324769,0.000369133772327628
8.89999999999985,4000313.01813542,7.82545338555707E-05,-293709.944095675,-1.72139063228105E-05,1.4109702981479E-05,0.0481363972551886,0.203409931379716,0.000370026580450812
8.99999999999985,4000316.92915976,7.92322899401121E-05,-293709.910602597,-1.73279388994141E-05,1.45935540604852E-05,0.0483162930628926,0.207907326572314,0.000370933446940639
9.09999999999985,4000320.85476448,8.02136911195461E-05,-293709.878048731,-1.74387737752468E-05,1.50884421252678E-05,0.0484980931772683,0.212452329431708,0.000371854529094235
