"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
0.1,4000016.68580709,4.17145177333822E-06,-293714.666368402,-1.13616863117727E-06,7.65753437859252E-11,0.0400012251982751,3.06299568784141E-05,0.000333715487542671
0.2,4000033.37216007,8.34304001662289E-06,-293714.332691563,-2.27222514703751E-06,6.9615581802794E-10,0.0400045669695187,0.000114174237966891,0.000333721837795676
0.3,4000050.05969404,1.2514923509066E-05,-293713.999080202,-3.40805873066952E-06,2.45466891348279E-09,0.0400100250533651,0.000250626334127313,0.000333736655819399
0.4,4000066.74904432,1.66872610793956E-05,-293713.665566889,-4.54355849222043E-06,5.94806167235536E-09,0.0400175990601479,0.000439976503696426,0.000333759943529626
0.5,4000083.44084653,2.08602116322787E-05,-293713.332184228,-5.67861343037102E-06,1.17723127870875E-08,0.0400272884713108,0.000682211782769393,0.000333791703990665
0.6,4000100.13573671,2.50339341780759E-05,-293712.998964865,-6.8131123919235E-06,2.05234431724008E-08,0.0400390926399741,0.000977315999352024,0.000333831941416313
0.7,4000116.83435143,2.92085878579318E-05,-293712.665941505,-7.94694403316587E-06,3.27975232427733E-08,0.0400530107916545,0.00132526979136283,0.000333880661171192
0.8,4000133.5373279,3.33843319737515E-05,-293712.333146917,-9.07999677968174E-06,4.9190695557677E-08,0.0400690420251385,0.00172605062846154,0.000333937869772458
0.9,4000150.24530406,3.75613260141794E-05,-293712.000613953,-1.02121587867154E-05,7.02991782028812E-08,0.0400871853135066,0.00217963283766576,0.000334003574891879
1,4000166.95891873,4.17397296825772E-05,-293711.668375554,-1.1343317899315E-05,9.6719278228715E-08,0.0401074395053092,0.0026859876327312,0.000334077785358286
1.1,4000183.67881171,4.59197029276659E-05,-293711.336464765,-1.2473361612142E-05,1.29047408492361E-07,0.0401298033258897,0.00324508314724259,0.000334160511160399
1.2,4000200.40562387,5.01014059672844E-05,-293711.004914745,-1.36021770283934E-05,1.67880091481836E-07,0.0401542753788551,0.003856884471378,0.000334251763450037
1.3,4000217.13999728,5.42849993199201E-05,-293710.67375878,-1.47296508210548E-05,2.13813979221068E-07,0.0401808541476916,0.00452135369229101,0.000334351554545691
1.4,4000233.88257532,5.84706438311322E-05,-293710.343030295,-1.58556691900458E-05,2.67445861062849E-07,0.0402095379975222,0.00523844993805578,0.000334459897936494
1.5,4000250.63400281,6.26585007026392E-05,-293710.012762864,-1.69801178228068E-05,3.29372674922828E-07,0.0402403251770047,0.0060081294251173,0.000334576808286559
1.6,4000267.39492608,6.68487315207411E-05,-293709.682990227,-1.81028818526663E-05,4.00191523745554E-07,0.0402732138203671,0.00683034550917849,0.00033470230143971
1.7,4000284.16599314,7.10414982845187E-05,-293709.353746296,-1.92238458166516E-05,4.80499683658327E-07,0.0403082019495784,0.00770504873945921,0.000334836394424605
1.8,4000300.94785374,7.52369634353656E-05,-293709.025065173,-2.034289361319E-05,5.70894616041318E-07,0.0403452874766501,0.00863218691625223,0.000334979105460232
1.9,4000317.74115954,7.943528988541E-05,-293708.696981156,-2.14599084628064E-05,6.71973984417886E-07,0.040384468206068,0.00961170515169996,0.000335130453961826
2,4000334.54656419,8.36366410472689E-05,-293708.369528759,-2.25747728613834E-05,7.84335660389242E-07,0.0404257418373486,0.0106435459337146,0.000335290460547159
2.1,4000351.36472345,8.78411808624691E-05,-293708.04274272,-2.36873685393046E-05,9.08577739077302E-07,0.0404691059677181,0.0117276491929532,0.000335459147043245
2.2,4000368.19629533,9.2049073831868E-05,-293707.716658012,-2.47975764187114E-05,1.04529855429936E-06,0.0405145580949107,0.0128639523727669,0.000335636536493448
2.3,4000385.04194018,9.62604850451854E-05,-293707.391309863,-2.59052765680945E-05,1.1950966837175E-06,0.0405620956200813,0.014052390502032,0.000335822653164988
2.4,4000401.90232084,0.000100475580210979,-293707.06673376,-2.70103481585515E-05,1.35857096551524E-06,0.0406117158508308,0.0152928962707706,0.00033601752255689
2.5,4000418.77810275,0.000104694525686622,-293706.742965471,-2.81126694188227E-05,1.53632051440078E-06,0.0406634160043388,0.0165854001084689,0.000336221171408314
