"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
0.1,4000000.3337171,8.34292752660559E-08,-293714.99340398,-2.27233596383769E-08,1.97620093483514E-12,0.040001061687793,2.65421948253408E-05,0.000333716334518241
0.2,4000000.66744686,1.66861716E-07,-293714.98673044,-4.54445026054628E-08,1.58492266127889E-11,0.0400042400111625,0.000106000279062934,0.000333724759312403
0.3,4000001.001202,2.50300499882172E-07,-293714.980058201,-6.81612131181453E-08,5.35392486872993E-11,0.040009534774378,0.000238369359450763,0.000333741652375748
0.4,4000001.33499521,3.33748801262246E-07,-293714.973387916,-9.08712716185534E-08,1.26962062975423E-10,0.040016945652362,0.000423641309050815,0.000333767015996535
0.5,4000001.6688392,4.17209800929186E-07,-293714.966720237,-1.13572459548017E-07,2.48041779444619E-10,0.0400264721910799,0.0006618047769964,0.00033380085361187
0.6,4000002.00274671,5.00686677673556E-07,-293714.960055817,-1.36262551464483E-07,4.28695756499838E-10,0.0400381138080841,0.000952845202102814,0.000333843169808814
0.700000000000001,4000002.33673046,5.84182615837037E-07,-293714.953395309,-1.58939321370788E-07,6.80849735400595E-10,0.0400518697932137,0.00129674483034314,0.000333893970325851
0.800000000000001,4000002.67080321,6.67700802647886E-07,-293714.94673937,-1.81600536497406E-07,1.01642432999929E-09,0.0400677393094458,0.00169348273614478,0.000333953262054759
0.900000000000001,4000003.00497771,7.51244427998898E-07,-293714.940088657,-2.04243959078809E-07,1.44734572217698E-09,0.0400857213938996,0.00214303484748934,0.00033402105304279
1,4000003.33926676,8.34816689332385E-07,-293714.93344383,-2.26867344799153E-07,1.98554214697303E-09,0.0401058149589913,0.00264537397478182,0.000334097352495311
1.09999999999999,4000003.67368314,9.18420784312701E-07,-293714.926805548,-2.49468442792278E-07,2.64294082217576E-09,0.0401280187937372,0.00320046984342937,0.000334182170778737
1.19999999999998,4000004.00823968,1.00205991926394E-06,-293714.920174477,-2.72044993199216E-07,3.43147487452991E-09,0.0401523315652049,0.00380828913012365,0.000334275519423899
1.29999999999997,4000004.34294922,1.0857373049511E-06,-293714.913551282,-2.94594727501263E-07,4.36307738555671E-09,0.0401787518201093,0.00446879550273338,0.000334377411129759
1.39999999999996,4000004.67782464,1.16945616102093E-06,-293714.906936631,-3.17115368630994E-07,5.44968521233242E-09,0.0402072779865512,0.00518194966378038,0.000334487859767521
