"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
14,4053175.21256447,0.0132938031411174,-293195.894772215,-0.0017673775796917,0.0053128796109479,0.0597763008238737,0.494407520596843,0.00420874055526173
15,4058268.13394965,0.014567033487412,-293254.370718987,-0.00156828680544918,0.00656493322751955,0.0626280412903278,0.565701032258195,0.00438476477161777
16,4063726.91896791,0.0159317297419785,-293345.303891703,-0.00125869018051838,0.00800320921431073,0.0657036609339174,0.642591523347936,0.00458847889977396
17,4069621.07708026,0.0174052692700644,-293477.303316457,-0.000809276889677246,0.00964190221317136,0.0690225933952175,0.725564834880436,0.00482499366562505
18,4076037.12904039,0.019009282260098,-293661.730658246,-0.000181364315447019,0.011495617268912,0.0726097416794971,0.815243541987429,0.00510083375388595
19,4083084.40952098,0.0207711023802453,-293913.776147139,0.000676765125765089,0.0135794603148594,0.076496771522554,0.91241928806385,0.00542443097345578
20,4090903.3831531,0.0227258457882755,-294254.035097127,0.0018352314958785,0.0159091725546916,0.0807238821069275,1.01809705267319,0.00580683515179868
21,4099677.83588083,0.0249194589702066,-294710.855645013,0.00339055059011795,0.0185013391029675,0.0853422652271902,1.13355663067976,0.0062627601694087
22,4109653.20601523,0.0274133015038076,-295323.890877795,0.00547772772651878,0.0213737268105399,0.0904175742545154,1.26043935636288,0.00681215879401219
23,4121164.94406966,0.0302912360174157,-296149.549348327,0.00828881490392774,0.0245458540928014,0.0960349033772679,1.4008725844317,0.00748265495480648
24,4134683.82812109,0.0336709570302729,-297269.435051368,0.0121016460591044,0.0280399929768009,0.102306073259984,1.5576518314996,0.00831340875413292
25,4150891.08559549,0.0377227713988715,-298803.373780843,0.0173241873970234,0.0318830116194146,0.109380513220079,1.73451283050198,0.00936145572509437
26,4170808.28030864,0.0427020700771588,-300928.81491666,0.0245605938973754,0.0361099361262856,0.117461855730252,1.93654639325629,0.0107124742470362
27,4196032.97794059,0.0490082444851487,-303905.975733947,0.0346968171631081,0.0407712491135988,0.126833697622405,2.17084244056013,0.0124997808312806
28,4229190.42946282,0.0572976073657054,-308092.161916547,0.0489493619139252,0.0459489242497873,0.137899886917189,2.44749717292972,0.0149391792169308
29,4274853.54187772,0.0687133854694291,-313848.006773945,0.0685460623067078,0.0517947549911152,0.1512459659158,2.781149147895,0.018395181742904
30,4341536.69912179,0.0853841747804465,-320844.600010878,0.0923670902932612,0.0586317173294913,0.167720548682373,3.19301371705931,0.0235086945326327
31,4446215.33640657,0.111553834101642,-324377.013062567,0.104393759175508,0.0672536397015513,0.188471326653605,3.71178316634013,0.0314273883962587
32,4624096.85899979,0.156024214749948,-298567.397497862,0.0165207681541597,0.0798849748813417,0.214512468731964,4.3628117182991,0.0440479263064502
33,4939875.17711525,0.234968794278813,-154322.283970953,-0.474584941423216,0.102881920998059,0.243880513391228,5.09701283478071,0.0629122899575672
34,5430151.11188202,0.357537777970506,154024.219455158,-1.52440024995034,0.14909875850316,0.263490828471176,5.58727071177939,0.0807200900576242
35,5912477.30699292,0.478119326748229,357285.914804841,-2.21643741283131,0.226785673413224,0.25802758339073,5.45068958476825,0.0749637308451634
36,6208929.171273,0.552232292818249,399108.721100632,-2.35882988949972,0.328061076957332,0.239895206136257,4.99738015340643,0.0512021702765128
37,6365548.98910548,0.59138724727637,392125.295120495,-2.33505369155859,0.443618807400764,0.222277101434009,4.55692753585023,0.0323880829452035
38,6451171.54791037,0.612792886977591,379233.338012867,-2.29116094823872,0.567730590828497,0.208145158308061,4.20362895770153,0.0212977371111485
39,6501674.54606284,0.62541863651571,368619.106319222,-2.25502308775893,0.697015551097976,0.197149498630686,3.92873746576715,0.0148462789795154
40,6533688.2870544,0.633422071763599,360800.308149184,-2.22840273071909,0.829457446662663,0.188509785257354,3.71274463143384,0.0108986499548567
41,6555228.83793435,0.638807209483588,355113.715726583,-2.20904181138883,0.96382458563773,0.181589851277801,3.53974628194502,0.0083412441524532
42,6570434.72793163,0.642608681982909,350924.751494739,-2.19477980832215,1.09934323959129,0.175936531728712,3.3984132932178,0.00659854062819054
43,6581591.7311332,0.645397932783299,347778.218266414,-2.18406692941747,1.23551458649753,0.171233962164185,3.28084905410463,0.00535962254384319
44,6590039.50832094,0.647509877080234,345366.216837008,-2.17585488226713,1.37200999687567,0.167259990976855,3.18149977442138,0.00444740054494678
45,6596604.01220675,0.649151003051689,343481.548539893,-2.16943822565574,1.50860933807118,0.163855500370581,3.09638750926452,0.00375584647168327
46,6601816.84466671,0.650454211166678,341983.084031125,-2.16433646201286,1.64516347654116,0.160904176594189,3.02260441485472,0.00321860344532752
47,6606032.91335674,0.651508228339186,340772.967062038,-2.160216423987,1.78157080534931,0.158319285517664,2.95798213794161,0.00279250981307942
48,6609496.71253185,0.652374178132962,339782.028713038,-2.1568426148566,1.91776215185741,0.156034939464042,2.90087348660104,0.00244853632379642
49,6612381.29834378,0.653095324585945,338960.445211988,-2.15404540156878,2.05369083892247,0.154000232004971,2.85000580012428,0.0021665827698911
50,6614812.08402,0.653703021005001,338271.681106884,-2.15170039329572,2.18932600013173,0.152175223879541,2.80438059698852,0.00193237357533778
51,6616881.85391852,0.654220463479631,337688.497520924,-2.14971485089644,2.32464799939445,0.150528143342268,2.7632035835567,0.00173554125074751
52,6618660.51639189,0.654665129097972,337190.274399014,-2.14801857007395,2.4596452409459,0.149033397793009,2.72583494482521,0.00156840666172795
53,6620201.60455386,0.655050401138465,336761.182158851,-2.14655765646706,2.59431191590022,0.147670137354569,2.69175343386424,0.00142518143336642
54,6621546.71014584,0.655386677536461,336388.911840995,-2.14529020224185,2.72864639061765,0.146421200646921,2.66053001617303,0.00130143359169807
55,6622728.57063744,0.65568214265936,336063.778797744,-2.14418323445619,2.86265004175537,0.145272329673384,2.63180824183461,0.00119372168188259
56,6623773.25890436,0.655943314726089,335778.080381824,-2.14321052820747,2.99632640653121,0.144211577184505,2.60528942961263,0.00109933927606316
57,6624701.76267076,0.656175440667689,335525.629096624,-2.1423510171674,3.1296805582006,0.143228853732567,2.58072134331417,0.00101613336493947
58,6625531.14130167,0.656382785325418,335301.408774037,-2.14158762298417,3.26271864423909,0.142315577491945,2.55788943729862,0.000942373164035651
59,6626275.3849238,0.65656884623095,335101.318231839,-2.14090638252269,3.39544754324264,0.141464400640322,2.53661001600806,0.000876653931736561
60,6626946.06066063,0.656736515165157,334921.977956092,-2.14029578968372,3.52787460921692,0.140668993450287,2.51672483625717,0.000817825497092628
61,6627552.80446271,0.656888201115676,334760.582751982,-2.13974629372993,3.66000748069846,0.139923872358818,2.49809680897045,0.000764938486534676
62,6628103.69949016,0.657025924872541,334614.788310771,-2.13924991308484,3.79185393830324,0.139224261891736,2.4806065472934,0.000717203401635687
63,6628605.57013756,0.65715139253439,334482.623071778,-2.13879993525273,3.92342179866438,0.138565982898117,2.46414957245293,0.000673959146004768
64,6629064.21263374,0.657266053158436,334362.419141309,-2.13839068162102,4.05471883585125,0.137945361412706,2.44863403531765,0.00063464858132927
65,6629484.57746206,0.657371144365516,334252.757705681,-2.13801732161013,4.18575272362901,0.13735915382573,2.43397884564324,0.000598799369194782
66,6629870.91482982,0.657467728707455,334152.425566589,-2.13767572469113,4.31653099357394,0.136804485044756,2.42011212611889,0.000566008827902235
67,6630226.89154422,0.657556722886055,334060.3802833,-2.13736234170672,4.44706100527981,0.136278797082805,2.40696992707012,0.000535931867780589
68,6630555.68557657,0.657638921394142,333975.722027817,-2.13707410904765,4.5773499257962,0.135779806071034,2.39449515177584,0.000508271307741001
69,6630860.06307916,0.657715015769789,333897.670715023,-2.13680837078854,4.70740471611716,0.135305466122555,2.38263665306387,0.000482770048948207
70,6631142.44150019,0.657785610375046,333825.547307068,-2.13656281503573,4.83723212304767,0.134853938801739,2.37134847004347,0.000459204708070806
71,6631404.94160835,0.657851235402087,333758.758442989,-2.13633542159631,4.96683867516165,0.134423567206188,2.3605891801547,0.000437380406026512
72,6631649.43061194,0.657912357652985,333696.783733945,-2.13612441872268,5.09623068185849,0.13401285386504,2.350321346626,0.00041712647776822
