"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
0.1,4000033.37150001,8.3428750019543E-06,-293714.332656697,-2.2723438530825E-06,1.22520905327791E-10,0.0400013920470435,3.48011760880063E-05,0.000333715000078172
0.2,4000066.74391345,1.66859783636841E-05,-293713.665301862,-4.54446081987747E-06,1.22521351842318E-09,0.0400049006072341,0.000122515180851712,0.000333719233533712
0.3,4000100.11851052,2.50296276294026E-05,-293712.998078759,-6.81612928421504E-06,4.49992661363971E-09,0.0400105253542584,0.000263133856460929,0.000333731934370112
0.4,4000133.49656171,3.33741404285881E-05,-293712.331052518,-9.08712749703167E-06,1.11385344258511E-08,0.0400182658325543,0.000456645813856404,0.000333753104123165
0.5,4000166.87933813,4.17198345332714E-05,-293711.664288334,-1.13572334997647E-05,2.23329584053824E-08,0.0400281214577434,0.000703036443584493,0.000333782745476908
0.6,4000200.26811164,5.00670279108828E-05,-293710.997851482,-1.3626225042751E-05,3.92751974655956E-08,0.0400400915172198,0.00100228793049606,0.000333820862264446
0.7,4000233.66415513,5.84160387822052E-05,-293710.331807351,-1.58938795087327E-05,6.31573429820412E-08,0.0400541751708917,0.00135437927229343,0.000333867459469145
0.8,4000267.0687427,6.67671856744434E-05,-293709.666221456,-1.81599738319216E-05,9.51716127574138E-08,0.0400703714520756,0.00175928630189093,0.000333922543226194
0.9,4000300.48314991,7.51207874785109E-05,-293709.001159472,-2.04242844185076E-05,1.36510363779111E-07,0.0400886792685427,0.00221698171356799,0.000333986120824542
1,4000333.90865401,8.34771635029874E-05,-293708.33668725,-2.26865870674997E-05,1.88366125978968E-07,0.0401090974037147,0.00272743509286633,0.000334058200709204
1.1,4000367.34653412,9.18366335311838E-05,-293707.672870841,-2.49466568907897E-05,2.51931618373711E-07,0.0401316245180078,0.00329061295019528,0.000334138792483944
1.2,4000400.79807151,0.000100199517876653,-293707.009776526,-2.72042682312179E-05,3.28399781362462E-07,0.040156259150324,0.00390647875809935,0.000334227906914334
1.3,4000434.26454976,0.00010856613743937,-293706.347470833,-2.94591945828593E-05,4.18963789663283E-07,0.0401829997196853,0.00457499299213193,0.000334325555931185
1.4,4000467.74725505,0.000116936813762791,-293705.686020562,-3.17112085096438E-05,5.24817089218013E-07,0.0402118445270112,0.00529611317528023,0.000334431752634363
1.5,4000501.24747636,0.000125311869088929,-293705.025492813,-3.39600815627561E-05,6.4715341055562E-07,0.0402427917570352,0.00606979392588047,0.00033454651129699
1.6,4000534.76650567,0.000133691626416965,-293704.365955006,-3.62055841989228E-05,7.87166797942043E-07,0.0402758394803584,0.0068959870089591,0.000334669847370013
1.7,4000568.30563824,0.000142076409559211,-293703.707474908,-3.8447485696369E-05,9.46051629911021E-07,0.0403109856556372,0.0077746413909292,0.000334801777487179
1.8,4000601.8661728,0.000150466543199945,-293703.050120654,-4.06855540734385E-05,1.12500265184239E-06,0.0403482281319027,0.0087057032975677,0.000334942319470387
1.9,4000635.44941181,0.000158862352951594,-293702.393960778,-4.29195560008866E-05,1.32521498840844E-06,0.0403875646510079,0.00968911627519864,0.00033509149233544
2,4000669.05666166,0.000167264165414904,-293701.739064231,-4.51492567197231E-05,1.54788417544583E-06,0.0404289928502,0.0107248212549993,0.000335249316298185
2.1,4000702.68923294,0.000175672308235786,-293701.085500411,-4.73744199538384E-05,1.79420618482858E-06,0.0404725102648139,0.0118127566203476,0.00033541581278106
2.2,4000736.34844066,0.000184087110165709,-293700.433339188,-4.95948078244046E-05,2.06537744216219E-06,0.0405181143310849,0.0129528582771223,0.000335591004420042
2.3,4000770.03560448,0.000192508901120547,-293699.782650926,-5.18101807606142E-05,2.36259485795196E-06,0.0405658023890746,0.014145059726864,0.000335774915072
2.4,4000803.75204896,0.000200938012239416,-293699.133506513,-5.40202974135262E-05,2.6870558498503E-06,0.0406155716857084,0.0153892921427095,0.00033596756982247
