"Tid", "Total energi", "Vridmoment"
0.99999997764824,183.255614909952, 0.0400000005005537
1.99999995529645,183.251450645685, 0.040000001000995
2.99999993294489,183.244510104021, 0.0400000015012114
3.99999991059333,183.234798134797, 0.0400000020010905
4.99999988824176,183.222321515787, 0.0400000025005209
5.9999998658902,183.207088939519, 0.0400000029993911
6.99999984353863,183.189110996418, 0.0400000034975906
7.99999982118707,183.168400154325, 0.0400000039950095
8.99999979883462,183.144970734491, 0.0400000044915389
9.99999977648216,183.1188388841, 0.0400000049870706
10.9999997541297,183.090022545469, 0.0400000054814979
11.9999997317773,183.058541422001, 0.0400000059747152
12.9999997094248,183.024416941035, 0.0400000064666182
13.9999996870724,182.987672213731, 0.0400000069571042
14.9999996647199,182.948331992119, 0.0400000074460717
15.9999996423675,182.90642262349, 0.0400000079334214
16.999999620015,182.861972002262, 0.0400000084190552
17.9999995976625,182.815009519523, 0.0400000089028774
18.9999995753101,182.765566010383, 0.0400000093847937
19.9999995529576,182.71367369936, 0.040000009864712
20.9999995306052,182.659366143951, 0.0400000103425426
21.9999995082527,182.602678176577, 0.0400000108181975
22.9999994859003,182.543645845115, 0.0400000112915913
23.9999994635478,182.482306352165, 0.0400000117626407
24.9999994411954,182.41869799328, 0.0400000122312645
25.9999994188429,182.352860094328, 0.0400000126973846
26.9999993964905,182.284832948169, 0.0400000131609247
27.999999374138,182.214657750839, 0.0400000136218112
28.9999993517856,182.14237653743, 0.0400000140799732
29.9999993294331,182.068032117818, 0.040000014535342
30.9999993070807,181.99166801244, 0.0400000149878518
31.9999992847282,181.91332838826, 0.0400000154374394
32.9999992623793,181.833057995102, 0.0400000158840438
33.9999992400304,181.750902102507, 0.0400000163276073
34.9999992176815,181.666906437235, 0.0400000167680741
35.9999991953326,181.581117121596, 0.0400000172053918
36.9999991729837,181.493580612689, 0.04000001763951
37.9999991506348,181.404343642723, 0.0400000180703812
38.9999991282859,181.313453160502, 0.0400000184979605
39.999999105937,181.220956274201, 0.0400000189222057
40.9999990835881,181.126900195509, 0.040000019343077
41.9999990612392,181.031332185272, 0.0400000197605373
42.9999990388903,180.934299500666, 0.0400000201745518
43.9999990165414,180.835849344014, 0.0400000205850887
44.9999989941925,180.736028813288, 0.040000020992118
45.9999989718436,180.634884854369, 0.0400000213956127
46.9999989494947,180.532464215099, 0.040000021795548
47.9999989271458,180.428813401181, 0.0400000221919014
48.9999989047969,180.323978633941, 0.0400000225846527
49.999998882448,180.218005809997, 0.0400000229737843
50.9999988600991,180.110940462839, 0.0400000233592803
51.9999988377502,180.002827726336, 0.0400000237411273
52.9999988154013,179.893712300179, 0.0400000241193141
53.9999987930524,179.78363841724, 0.0400000244938313
54.9999987707035,179.67264981288, 0.0400000248646717
55.9999987483546,179.560789696137, 0.04000002523183
56.9999987260057,179.448100722821, 0.040000025595303
57.9999987036568,179.334624970473, 0.040000025955089
58.9999986813079,179.220403915167, 0.0400000263111885
59.999998658959,179.105478410111, 0.0400000266636033
60.9999986366101,178.989888666032, 0.0400000270123373
61.9999986142612,178.873674233294, 0.0400000273573959
62.9999985919123,178.756873985695, 0.0400000276987859
63.9999985695634,178.639526105925, 0.0400000280365158
64.9999985472145,178.521668072627, 0.0400000283705955
65.9999985248656,178.403336648995, 0.0400000287010362
66.9999985025167,178.284567872893, 0.0400000290278508
67.9999984801678,178.165397048399, 0.0400000293510529
68.9999984578189,178.045858738773, 0.0400000296706579
69.99999843547,177.925986760743, 0.0400000299866821
70.9999984131211,177.805814180091, 0.0400000302991431
71.9999983907722,177.685373308466, 0.0400000306080591
72.9999983684233,177.564695701384, 0.0400000309134499
73.9999983460744,177.443812157332, 0.040000031215336
74.9999983237255,177.322752717952, 0.0400000315137388
75.9999983013766,177.201546669232, 0.0400000318086806
76.9999982790277,177.080222543656, 0.0400000321001846
77.9999982566788,176.958808123258, 0.0400000323882746
78.9999982343299,176.837330443527, 0.0400000326729754
79.999998211981,176.71581579811, 0.0400000329543121
80.9999981896321,176.594289744271, 0.0400000332323109
81.9999981672832,176.472777109041, 0.040000033506998
82.9999981449343,176.351301996032, 0.0400000337784008
83.9999981225854,176.229887792841, 0.0400000340465467
84.9999981002365,176.108557179029, 0.0400000343114639
85.9999980778876,175.9873321346, 0.0400000345731808
86.9999980555387,175.866233948971, 0.0400000348317263
87.9999980331898,175.745283230355, 0.0400000350871298
88.9999980108409,175.62449991555, 0.0400000353394209
89.999997988492,175.503903280077, 0.0400000355886294
90.9999979661431,175.38351194863, 0.0400000358347855
91.9999979437942,175.263343905826, 0.0400000360779196
92.9999979214453,175.143416507182, 0.0400000363180624
93.9999978990964,175.023746490321, 0.0400000365552444
94.9999978767475,174.904349986372, 0.0400000367894967
95.9999978543986,174.785242531513, 0.0400000370208502
96.9999978320497,174.666439078653, 0.0400000372493362
97.9999978097008,174.547954009213, 0.0400000374749858
98.9999977873519,174.429801144999, 0.0400000376978302
99.999997765003,174.311993760121, 0.0400000379179008
100.999997742654,174.194544592942, 0.0400000381352289
101.999997720305,174.077465858062, 0.0400000383498458
102.999997697956,173.960769258271, 0.0400000385617826
103.999997675607,173.844465996504, 0.0400000387710704
104.999997653259,173.728566787739, 0.0400000389777406
105.99999763091,173.613081870846, 0.040000039181824
106.999997608561,173.498021020367, 0.0400000393833517
107.999997586212,173.383393558213, 0.0400000395823544
108.999997563863,173.269208365261, 0.0400000397788628
109.999997541514,173.155473892849, 0.0400000399729075
110.999997519165,173.042198174149, 0.0400000401645188
111.999997496816,172.929388835419, 0.040000040353727
