"tid","Rörelsemängdsmoment (kg * m^2/s)","Förändring rörelsemängdsmoment","energi (J)","förändring energi","avstånd från analytisk lösning (m)","hastighet(m/s)","Hastighet jfr början","delta hastighet"
1.49999999999985,4000000.50128823,1.25322057176191E-07,-293714.990103474,-3.39604663279758E-08,6.70537717205073E-10,0.0402378639898797,0.00594659974699341,3.06275100818917E-05
1.59999999999984,4000000.53481287,1.33703218496706E-07,-293714.989443919,-3.620602595511E-08,8.13814668786309E-10,0.0402705939371108,0.00676484842777092,3.27299472310943E-05
1.69999999999983,4000000.56835797,1.42089492838338E-07,-293714.988785422,-3.84479847959085E-08,9.76174483981759E-10,0.0403054244067194,0.00763561016798575,3.48304696086016E-05
1.79999999999982,4000000.60192486,1.5048121593253E-07,-293714.98812805,-4.06861145885173E-08,1.1588194284271E-09,0.0403423533736507,0.00855883434126814,3.69289669312906E-05
1.89999999999981,4000000.63551483,1.58878707079424E-07,-293714.987471872,-4.29201769680532E-08,1.36293548817694E-09,0.0403813787049807,0.0095344676245166,3.90253313299407E-05
1.9999999999998,4000000.66912917,1.67282291796411E-07,-293714.986816958,-4.51499383435916E-08,1.58972418843835E-09,0.0404224981624577,0.0105624540614433,4.11194574770693E-05
2.10000000000001,4000000.70276921,1.7569230226222E-07,-293714.986163376,-4.73751625706953E-08,1.8403826487209E-09,0.0404657094051675,0.0116427351291868,4.32112427097356E-05
2.20000000000022,4000000.73643627,1.84109066436733E-07,-293714.985511197,-4.95956116175478E-08,2.1161065246506E-09,0.0405110099923157,0.012775249807893,4.53005871482517E-05
2.30000000000043,4000000.77013165,1.92532912057786E-07,-293714.984860491,-5.18110441216635E-08,2.41809405715759E-09,0.0405583973861289,0.013959934653222,4.73873938131586E-05
2.40000000000064,4000000.80385671,2.00964176855223E-07,-293714.98421133,-5.40212172772669E-08,2.74753701150547E-09,0.0406078689548666,0.0151967238716639,4.94715687376773E-05
2.50000000000085,4000000.83761277,2.09403191675506E-07,-293714.983563784,-5.62258907210733E-08,3.10564406925629E-09,0.0406594219759417,0.0164855493985421,5.15530210751236E-05
2.60000000000106,4000000.87140114,2.1785028514465E-07,-293714.982917927,-5.8424816096192E-08,3.4936113204501E-09,0.040713053639147,0.0178263409786741,5.36316632052808E-05
2.70000000000127,4000000.90522319,2.26305798545212E-07,-293714.982273831,-6.06177448236878E-08,3.91263342456426E-09,0.040768761049982,0.0192190262495502,5.57074108350486E-05
2.80000000000148,4000000.93908028,2.34770070939305E-07,-293714.981631569,-6.28044295458707E-08,4.36391590173599E-09,0.0408265412330763,0.0206635308269074,5.77801830942831E-05
2.9000000000017,4000000.97297374,2.43243435171792E-07,-293714.980991216,-6.49846136901999E-08,4.84865583251939E-09,0.0408863911357059,0.0221597783926468,5.9849902629576E-05
3.00000000000191,4000001.00690493,2.51726232969318E-07,-293714.980352846,-6.71580459021826E-08,5.36805926635143E-09,0.0409483076313989,0.0237076907849727,6.19164956930374E-05
3.10000000000212,4000001.04087525,2.60218812275781E-07,-293714.979716535,-6.9324469387233E-08,5.92332793040109E-09,0.0410122875236261,0.0253071880906526,6.39798922271936E-05
3.20000000000233,4000001.07488605,2.68721511709202E-07,-293714.97908236,-7.14836229098736E-08,6.51566195368845E-09,0.0410783275495704,0.0269581887392594,6.60400259442709E-05
3.30000000000254,4000001.10893872,2.77234679213478E-07,-293714.978450397,-7.36352421260023E-08,7.14626347872194E-09,0.0411464243839747,0.0286606095993662,6.80968344042784E-05
